CÓDIGO SAP;DESCRIPCIÓN SAP
1;AZUL
10;CAFÉ
11;ROSADO
12;VINO
13;CELESTE
14;CREMA
15;MORADO
16;VARIOS
17;PLATEADO
18;N/A
2;ROJO
3;AMARILLO
4;BLANCO
5;VERDE
6;NEGRO
7;DORADO
8;PLOMO
9;TOMATE
